GROUP,CODE,NAME,YEAR,ANTIGEN,ANTIGEN_DESCRIPTION,COVERAGE_CATEGORY,COVERAGE_CATEGORY_DESCRIPTION,TARGET_NUMBER,DOSES,COVERAGE
DEVELOPMENT_STATUS,DEVELOPED_ECONOMY,Developed economy,2021.0,MCV1,"Measles-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,10350950.0,9652715.0,93.0
DEVELOPMENT_STATUS,DEVELOPED_ECONOMY,Developed economy,2021.0,MCV2,"Measles-containing vaccine, 2nd dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,11377787.0,10376484.0,91.0
DEVELOPMENT_STATUS,DEVELOPED_ECONOMY,Developed economy,2021.0,PCV3,"Pneumococcal conjugate vaccine, final dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,10350950.0,8897021.0,86.0
DEVELOPMENT_STATUS,DEVELOPED_ECONOMY,Developed economy,2021.0,POL3,"Polio, 3rd dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,10350950.0,9681142.0,94.0
DEVELOPMENT_STATUS,DEVELOPED_ECONOMY,Developed economy,2021.0,PRHPV1_F,"HPV Vaccination program coverage, first dose, females",HPV,HPV Estimates,6026760.0,3853190.0,64.0
DEVELOPMENT_STATUS,DEVELOPED_ECONOMY,Developed economy,2021.0,PRHPV1_M,"HPV Vaccination program coverage, first dose, males",HPV,HPV Estimates,6382883.0,2837657.0,44.0
DEVELOPMENT_STATUS,DEVELOPED_ECONOMY,Developed economy,2021.0,PRHPVC_F,"HPV Vaccination program coverage, last dose, females",HPV,HPV Estimates,6026760.0,2965332.0,49.0
DEVELOPMENT_STATUS,DEVELOPED_ECONOMY,Developed economy,2021.0,PRHPVC_M,"HPV Vaccination program coverage, last dose, males",HPV,HPV Estimates,6382883.0,2098046.0,33.0
DEVELOPMENT_STATUS,DEVELOPED_ECONOMY,Developed economy,2021.0,RCV1,"Rubella-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,10350950.0,9652715.0,93.0
DEVELOPMENT_STATUS,DEVELOPED_ECONOMY,Developed economy,2021.0,ROTAC,"Rotavirus, last dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,10350950.0,5369014.0,52.0
DEVELOPMENT_STATUS,DEVELOPED_ECONOMY,Developed economy,2020.0,15HPV1_F,"HPV Vaccination coverage by age 15, first dose, females",HPV,HPV Estimates,5963369.0,3810286.0,64.0
DEVELOPMENT_STATUS,DEVELOPED_ECONOMY,Developed economy,2020.0,15HPV1_M,"HPV Vaccination coverage by age 15, first dose, males",HPV,HPV Estimates,6319306.0,2369741.0,38.0
DEVELOPMENT_STATUS,DEVELOPED_ECONOMY,Developed economy,2020.0,15HPVC_F,"HPV Vaccination coverage by age 15, last dose, females",HPV,HPV Estimates,5963369.0,3287676.0,55.0
