GROUP,CODE,NAME,YEAR,DISEASE,DISEASE_DESCRIPTION,CASES
WHO_REGIONS,AFR,African Region,2013.0,DIPHTHERIA,Diphtheria,128.0
WHO_REGIONS,AFR,African Region,2013.0,JAPENC,Japanese encephalitis,0.0
WHO_REGIONS,AFR,African Region,2013.0,MEASLES,Measles,171178.0
WHO_REGIONS,AFR,African Region,2013.0,MUMPS,Mumps,8147.0
WHO_REGIONS,AFR,African Region,2013.0,NTETANUS,Neonatal tetanus,1449.0
WHO_REGIONS,AFR,African Region,2013.0,PERTUSSIS,Pertussis,9930.0
WHO_REGIONS,AFR,African Region,2013.0,POLIO,Poliomyelitis,93.0
WHO_REGIONS,AFR,African Region,2013.0,RUBELLA,Rubella,13739.0
WHO_REGIONS,AFR,African Region,2013.0,TTETANUS,Total tetanus,5149.0
WHO_REGIONS,AFR,African Region,2013.0,YFEVER,Yellow fever,268.0
WHO_REGIONS,AFR,African Region,2012.0,CRS,Congenital rubella syndrome,69.0
WHO_REGIONS,AFR,African Region,2012.0,DIPHTHERIA,Diphtheria,27.0
WHO_REGIONS,AFR,African Region,2012.0,JAPENC,Japanese encephalitis,0.0
WHO_REGIONS,AFR,African Region,2012.0,MEASLES,Measles,108004.0
WHO_REGIONS,AFR,African Region,2012.0,MUMPS,Mumps,2401.0
WHO_REGIONS,AFR,African Region,2012.0,NTETANUS,Neonatal tetanus,2049.0
WHO_REGIONS,AFR,African Region,2012.0,PERTUSSIS,Pertussis,16839.0
WHO_REGIONS,AFR,African Region,2012.0,POLIO,Poliomyelitis,168.0
WHO_REGIONS,AFR,African Region,2012.0,RUBELLA,Rubella,10850.0
WHO_REGIONS,AFR,African Region,2012.0,TTETANUS,Total tetanus,4737.0
WHO_REGIONS,AFR,African Region,2012.0,YFEVER,Yellow fever,246.0
WHO_REGIONS,AFR,African Region,2011.0,CRS,Congenital rubella syndrome,0.0
WHO_REGIONS,AFR,African Region,2011.0,DIPHTHERIA,Diphtheria,13.0
WHO_REGIONS,AFR,African Region,2011.0,JAPENC,Japanese encephalitis,0.0
WHO_REGIONS,AFR,African Region,2011.0,MEASLES,Measles,195620.0
WHO_REGIONS,AFR,African Region,2011.0,MUMPS,Mumps,10808.0
WHO_REGIONS,AFR,African Region,2011.0,NTETANUS,Neonatal tetanus,1908.0
WHO_REGIONS,AFR,African Region,2011.0,PERTUSSIS,Pertussis,5816.0
WHO_REGIONS,AFR,African Region,2011.0,POLIO,Poliomyelitis,398.0
WHO_REGIONS,AFR,African Region,2011.0,RUBELLA,Rubella,16190.0
WHO_REGIONS,AFR,African Region,2011.0,TTETANUS,Total tetanus,4355.0
WHO_REGIONS,AFR,African Region,2011.0,YFEVER,Yellow fever,2574.0
WHO_REGIONS,AFR,African Region,2010.0,CRS,Congenital rubella syndrome,16.0
WHO_REGIONS,AFR,African Region,2010.0,DIPHTHERIA,Diphtheria,50.0
WHO_REGIONS,AFR,African Region,2010.0,JAPENC,Japanese encephalitis,0.0
WHO_REGIONS,AFR,African Region,2010.0,MEASLES,Measles,199174.0
WHO_REGIONS,AFR,African Region,2010.0,MUMPS,Mumps,13836.0
WHO_REGIONS,AFR,African Region,2010.0,NTETANUS,Neonatal tetanus,1937.0
WHO_REGIONS,AFR,African Region,2010.0,PERTUSSIS,Pertussis,4929.0
WHO_REGIONS,AFR,African Region,2010.0,POLIO,Poliomyelitis,709.0
WHO_REGIONS,AFR,African Region,2010.0,RUBELLA,Rubella,2754.0
WHO_REGIONS,AFR,African Region,2010.0,TTETANUS,Total tetanus,4311.0
WHO_REGIONS,AFR,African Region,2010.0,YFEVER,Yellow fever,714.0
